id,publication_year,cited_by_count,author_ids
https://openalex.org/W3030624795,2020,35,"['A5090252428', 'A5102628586', 'A5049054993', 'A5028139039', 'A5042792975']"
https://openalex.org/W3209722324,2021,28,"['A5085830675', 'A5045773507', 'A5061375468', 'A5081710991', 'A5069939742']"
https://openalex.org/W3154596672,2021,27,"['A5082623356', 'A5031169711', 'A5044072805', 'A5059645286', 'A5079340311', 'A5090631705']"
https://openalex.org/W4309618159,2022,20,"['A5051322312', 'A5106173081', 'A5040820784', 'A5030788989', 'A5112283852', 'A5032530421']"
https://openalex.org/W4306160922,2022,18,"['A5027823378', 'A5080267104', 'A5015055144', 'A5052717630', 'A5084793824', 'A5047169376']"
https://openalex.org/W4366550636,2023,11,"['A5014325236', 'A5040820784', 'A5086974321', 'A5013116742', 'A5032530421']"
https://openalex.org/W2033166336,1993,71,['A5059645286']
https://openalex.org/W2088937679,1991,70,"['A5059645286', 'A5052035076', 'A5043881240']"
https://openalex.org/W2056112308,1990,65,"['A5059645286', 'A5053185418', 'A5109168629']"
https://openalex.org/W2054864558,1991,64,"['A5059645286', 'A5051242148']"
https://openalex.org/W2088677094,1987,56,"['A5043881240', 'A5057286641', 'A5059645286']"
https://openalex.org/W2082971102,1979,51,"['A5059645286', 'A5066306725', 'A5074700845', 'A5002420393', 'A5068032162', 'A5090202672']"
https://openalex.org/W2504472043,2010,49,['A5063166187']
https://openalex.org/W2047356023,2013,43,"['A5032500066', 'A5059645286', 'A5113792167', 'A5090631705']"
https://openalex.org/W2011414918,2013,40,"['A5032500066', 'A5059645286', 'A5058584640', 'A5090631705']"
https://openalex.org/W2062236506,2015,39,"['A5076107680', 'A5052720011', 'A5058534097', 'A5052648442', 'A5059645286']"
https://openalex.org/W2593130617,2017,38,"['A5044130443', 'A5025977681', 'A5074129504', 'A5030571651', 'A5071422618']"
https://openalex.org/W1748806171,2015,37,"['A5028407723', 'A5015534160', 'A5030571651']"
https://openalex.org/W2346326425,2016,37,"['A5000465145', 'A5082230764', 'A5019750784', 'A5085681303', 'A5059645286', 'A5074840883', 'A5090631705', 'A5005635678']"
https://openalex.org/W2800794331,2018,34,"['A5025105803', 'A5080267104', 'A5028950652']"
https://openalex.org/W2554718474,2016,32,"['A5063166187', 'A5002735772']"
https://openalex.org/W2987189969,2019,32,"['A5101890757', 'A5017108391', 'A5022604981', 'A5038985282', 'A5101423504']"
https://openalex.org/W3005696253,2020,29,"['A5101890757', 'A5055443217', 'A5038985282', 'A5101423504']"
https://openalex.org/W3160029355,2021,25,"['A5045230890', 'A5005700214', 'A5040820784', 'A5051099787', 'A5032423232', 'A5033247821', 'A5078443228', 'A5041906419']"
https://openalex.org/W3176179070,2021,24,"['A5101890757', 'A5034116647', 'A5022604981', 'A5101423504']"
https://openalex.org/W4292748677,2022,17,"['A5103151229', 'A5101803740', 'A5100377216', 'A5100359580', 'A5100669855']"
https://openalex.org/W4304195660,2022,16,"['A5018713931', 'A5011195481', 'A5003774887', 'A5059645286', 'A5054248372']"
https://openalex.org/W4256620678,1993,62,"['A5056091804', 'A5059645286', 'A5106234642']"
https://openalex.org/W2062965812,1995,57,"['A5052035076', 'A5059645286', 'A5029487359']"
https://openalex.org/W2005998403,1986,54,"['A5076775426', 'A5113457403', 'A5016829160', 'A5059645286']"
https://openalex.org/W2128735478,2012,37,"['A5061911740', 'A5009103844', 'A5014931471', 'A5064171835', 'A5008950244']"
https://openalex.org/W2068004142,2013,35,"['A5016564072', 'A5059645286']"
